text,intent,label
Where is the closest movie house that's playing The Mark?,SearchScreeningEvent,6
Put ares in my canadian country playlist,AddToPlaylist,0
Can I get the movie schedules in the neighbourhood for the newest films,SearchScreeningEvent,6
Find Think: act,SearchCreativeWork,5
Weather for my current location tomorrow,GetWeather,2
Find the show titled The Most Charming and Attractive,SearchCreativeWork,5
How much sun will there be at 07:03:43 PM. in Jones Chapel?,GetWeather,2
Can you let me know what animated movies are playing close by?,SearchScreeningEvent,6
Can I get the Butterfly Crush showings,SearchScreeningEvent,6
give 1 out of 6 points to current saga,RateBook,4
What's the weather forecast for here on Jul. 23?,GetWeather,2
Can i get the showtimes for movies around here?,SearchScreeningEvent,6
What animated movies are showing in the area?,SearchScreeningEvent,6
Will it be hot in Dongola Cameroon,GetWeather,2
Pull up Mafia: The City of Lost Heaven,SearchCreativeWork,5
Weather for close-by Parc national de Kolkheti,GetWeather,2
put jim fairchild onto spotlight spain 2016,AddToPlaylist,0
"rate the book A Girl, a Man, and a River a five",RateBook,4
Find a video game called Merry Andrew.,SearchCreativeWork,5
Help me find the saga titled The Eternal Return,SearchCreativeWork,5
Rate A Battle of Nerves three stars out of 6,RateBook,4
Will it be colder in Delaware?,GetWeather,2
"What will the weather be like on january the twenty-third, 2034 in GA",GetWeather,2
Where to see painting Twelve Angry Men,SearchCreativeWork,5
Rate the current textbook one stars,RateBook,4
Is Prophecy playing at Malco Theatres,SearchScreeningEvent,6
the next album is only one stars,RateBook,4
Book a restaurant within the same area of Ely for 10 people.,BookRestaurant,1
Give this album a five out of 6,RateBook,4
What's the weather forrecast here in five seconds?,GetWeather,2
"Will it be cold close-by Iowa on september twenty-first, 2025",GetWeather,2
"Locate a bakery in Rockport, Federated States Of Micronesia that serves olives",BookRestaurant,1
melba and I want to dine in Barbados next Jun.,BookRestaurant,1
Place this tune onto my dinner for 2 playlist.,AddToPlaylist,0
add this song to my playlist under Funky Jams,AddToPlaylist,0
Rate this book three out of 6,RateBook,4
find the photograph Move Any Mountain,SearchCreativeWork,5
Book a restaurant for ten people.,BookRestaurant,1
"me and terrie need a table at a bar in Hypoluxo, UT",BookRestaurant,1
"What is the weather going to be like in Klondike Gold Rush National Historical Park on february the 28th, 2034?",GetWeather,2
will it be temperate in Hybla Valley Tajikistan,GetWeather,2
I need a reservation for a coffeehouse with nine people within the same area as Midland Park,BookRestaurant,1
Give zero / 6 stars to this album,RateBook,4
I give the following saga a 5.,RateBook,4
What will the weather be in Hillview?,GetWeather,2
Is there a movie theatre showing Last Cab to Darwin today?,SearchScreeningEvent,6
What films are scheduled around here?,SearchScreeningEvent,6
Give me the movie schedules for Neighborhood Cinema Group,SearchScreeningEvent,6
Find the schedule for films at the closest movie house.,SearchScreeningEvent,6
will the weather be warm far from Niger at 15 o'clock,GetWeather,2
rate this novel 0 of 6 stars,RateBook,4
book a spot for three at a bakery in Grand Portage,BookRestaurant,1
When is City of Angels playing?,SearchCreativeWork,5
Add this tune to Rock Save The Queen,AddToPlaylist,0
What are the Mann Theatres showtimes for Secret Sunshine,SearchScreeningEvent,6
give 5 out of 6 points to Racing the Rain,RateBook,4
what is the Cameia National Park forecast for in one minute and 1 second,GetWeather,2
Add daigo to indietronic,AddToPlaylist,0
The current book deserves a rating of only one.,RateBook,4
What's the weather like in Groesbeck,GetWeather,2
Please add faccetta nera to my this is handel playlist,AddToPlaylist,0
I'm looking for Right on Track.,SearchCreativeWork,5
What movies are playing Douglas Theatre Company,SearchScreeningEvent,6
Will there be a blizzard in White House Curacao,GetWeather,2
"Is it hot in Gold Beach, Bahrain?",GetWeather,2
add ivan mane jarnowick to Fusion Fest,AddToPlaylist,0
Can you locate West Coast Wrestling Connection,SearchCreativeWork,5
Book a table for 6 in New Hampshire for next week.,BookRestaurant,1
add tune to Composer Weekly Pauline Oliveros playlist,AddToPlaylist,0
Will it be chilly 17 hours from now in Cold Creek Conservation Area,GetWeather,2
Book a reservation for seven people at a bar in Kentucky,BookRestaurant,1
I'd rate this novel a five,RateBook,4
Where can I view the photograph Occasional Wife,SearchCreativeWork,5
Need to book a reservtion for a restaurant in Maryland for me and my half sister,BookRestaurant,1
Search for High Chicago,SearchCreativeWork,5
I want novena on a nocturn added to the playlist called Gold Edition,AddToPlaylist,0
book a spot for vicki and I at a restaurant in Puerto Rico,BookRestaurant,1
How will snowfall be here in 2/21/2022?,GetWeather,2
What time is Kerasotes Theatres playing animated movies,SearchScreeningEvent,6
Give the current essay 5 out of 6 points.,RateBook,4
Rate the current novel one of 6,RateBook,4
Book a restaurant for ten in OK.,BookRestaurant,1
She me the forecast for Clayton Lake State Park on Oct. 17th,GetWeather,2
find the picture Their Finest Hour,SearchCreativeWork,5
Can you please assign two points to the White Niggers of America chronicle?,RateBook,4
Read The Open Ecology Journal,SearchCreativeWork,5
my brother in law and I would like to go to Guinea-Bissau for food,BookRestaurant,1
Book me a reestaurant that is close in the country of Cocos Islands,BookRestaurant,1
Book a popular brasserie in Roads End,BookRestaurant,1
add this album to the playlist called dishwashing,AddToPlaylist,0
In Wynnedale AK will it blizzard,GetWeather,2
Add elastic love to This Is Stormzy,AddToPlaylist,0
rate this novel a three,RateBook,4
Is it forecast to be chilly in Iowa?,GetWeather,2
Add a KJ 52 track to the te quiero playlist.,AddToPlaylist,0
give two star to As Long as We Both Shall Live book,RateBook,4
Tell me if snow is in the forecast for Teterville,GetWeather,2
find Unfinished portrait of General Bonaparte,SearchCreativeWork,5
I need a table at a restaurant in Ireland serving kouglof,BookRestaurant,1
"Need a table for rita, antoinette and I",BookRestaurant,1
rate the book Indiana Jones and the Dance of the Giants 5 out of 6 stars,RateBook,4
insert Rock Me UP song to my list,AddToPlaylist,0
can i have the local movie times,SearchScreeningEvent,6
I need to see the movie schedules,SearchScreeningEvent,6
book a table at 04:36:28 at the northeast indian restaurant,BookRestaurant,1
Please give me information on when Prisoner of Zenda will be shown.,SearchScreeningEvent,6
Add Sweet Black Angel to my Diarios de Bicicleta playlist,AddToPlaylist,0
add det kimer nu til julefest to my playlist technical&brutal death metal,AddToPlaylist,0
Rate the current album 4 out of 6 stars,RateBook,4
book a table in California for rita and brenda at Hurley Mountain Inn on january the 11th,BookRestaurant,1
book sot for 22 minutes from now at a restaurant with parking,BookRestaurant,1
find a book called The Mad Magician,SearchCreativeWork,5
Add this song onto my playlist entitled chill out.,AddToPlaylist,0
I am giving this book called The Wide Window one out of 6 stars,RateBook,4
Find movie times.,SearchScreeningEvent,6
Add to playlist i love my neo soul the name national treasure book of secrets,AddToPlaylist,0
Please search A New Machine TV series.,SearchCreativeWork,5
i need movie times for movies in the area,SearchScreeningEvent,6
Rate Maps for Lost Lovers 1 of 6,RateBook,4
Where to buy book Charlie Countryman deve morire,SearchCreativeWork,5
Tell me the weather forecast for Casa Grande Ruins National Monument,GetWeather,2
Will it be colder in Noblesville East Timor at 3 pm?,GetWeather,2
Tell me if it will hail in Elliotts Bluff at five o'clock,GetWeather,2
The current album gets three out of 6 points,RateBook,4
where is the nearest movie theatre showing movies,SearchScreeningEvent,6
what is the forecast for next may in Zambia,GetWeather,2
Book a bar for 6 that has stuffed ham and isn't too faraway from Canarsie - Rockaway Parkway on bennington battle day.,BookRestaurant,1
what is the Southern Shops forecast for warm temps,GetWeather,2
show creativity of video game Labyrinth,SearchCreativeWork,5
I need a reservation for ten in Wisconsin,BookRestaurant,1
give 0 to The Sky Village,RateBook,4
Find the movie times for nearby films.,SearchScreeningEvent,6
find As Live as It Gets,SearchCreativeWork,5
Rate this book 3 of 6,RateBook,4
what is the Bethany Beach forecast,GetWeather,2
what is the weather forecast for Åland,GetWeather,2
find Journal of the Society for American Music,SearchCreativeWork,5
Book a restaurant in Three Points,BookRestaurant,1
find Noon movie times at IMAX Corporation,SearchScreeningEvent,6
what is the weather of East Portal KS,GetWeather,2
Book a restaurant in Darnell.,BookRestaurant,1
Find a movie schedule.,SearchScreeningEvent,6
Cock-A-Doodle-Doo! was awful. I'm giving it a 0 out of 6.,RateBook,4
Shoe me the forecast for Bonaire this Fall,GetWeather,2
Where can I listen to Willy and the Poor Boys,SearchCreativeWork,5
Rate this book five of 6 points,RateBook,4
what is the cold forecast for our current position,GetWeather,2
rate the next book four stars,RateBook,4
book for 8 for argentinian food at a bakery,BookRestaurant,1
Find UNDER NIGHT IN-BIRTH,SearchCreativeWork,5
Give this novel 5 stars,RateBook,4
Please book a room in The River Café restaurant  to accommodate eight members in Andorra,BookRestaurant,1
Rate the Tropic of Cancer book a 2 out of 6,RateBook,4
I rate Vivian Grey three.,RateBook,4
What will the weather be here 14 minutes from now within walking distance?,GetWeather,2
Show me The Tivington Nott,SearchCreativeWork,5
Add the lady bunny album to décadas,AddToPlaylist,0
Add Progress to my clásica para todos playlist.,AddToPlaylist,0
Where is Feast II: No Limit playing,SearchScreeningEvent,6
rate this saga 1 points,RateBook,4
The road trip playlist needs justin utley in it.,AddToPlaylist,0
Will it be windy at 4 PM in NY?,GetWeather,2
add this artist to the playlist cool jazz,AddToPlaylist,0
Add song to my Club Hits,AddToPlaylist,0
show the schedule of movie The Statue,SearchScreeningEvent,6
Show me the forecast for the distant area of ME at three pm,GetWeather,2
I want lay down your arms in the indie español playlist.,AddToPlaylist,0
Book a reservation for six people at a churrascaria restaurant in Cook Islands one minute from now,BookRestaurant,1
find close by movies movie times,SearchScreeningEvent,6
Is it going to be chillier in New Mexico this spring?,GetWeather,2
Please search the Songs for the Deaf video game.,SearchCreativeWork,5
I would give The Call of the Toad a value of zero and a best rating of 6,RateBook,4
Give this book a rating of two out of 6.,RateBook,4
"Will it be hot in West Union, Malaysia",GetWeather,2
rate the book The Nightmare Lands 0 out of 6 stars,RateBook,4
Rate current novel two stars,RateBook,4
I'm looking to book a spot at a restaurant in RI.,BookRestaurant,1
"I'm looking to book a table at a place in Newton Falls, prefereably within the same area that has space for 6",BookRestaurant,1
add Viktor Tsoi to my sweet soul chillout playlist,AddToPlaylist,0
give me the showtimes for Down Where The Buffalo Go at Amco Entertainment,SearchScreeningEvent,6
rate the Broke: Who Killed the Middle Classes? chronicle a five,RateBook,4
book a table at Atlantic Grill in Lofgreen,BookRestaurant,1
Can you get me a table at a chicken and waffles joint in New Mexico,BookRestaurant,1
what day does the movie Star of the Circus play at ten PM,SearchScreeningEvent,6
What's the weather like today in Plankinton?,GetWeather,2
give 2 stars to Mulligan Stew series,RateBook,4
Give this album a rating of 4.,RateBook,4
rate the current chronicle five stars,RateBook,4
Find Games Wizards Play TV series,SearchCreativeWork,5
I'd like to see Confessions of an Indian Teenager,SearchCreativeWork,5
Add nina hagen to essential folk,AddToPlaylist,0
please rate this essay three out of 6,RateBook,4
The Great Science Fiction Stories About Mars series deserves a rating of zero,RateBook,4
What time are films showing at KB Theatres,SearchScreeningEvent,6
Will there be wind in ME?,GetWeather,2
What is the movie schedule today at Neighborhood Cinema Group?,SearchScreeningEvent,6
I need to see Cristo in India,SearchCreativeWork,5
I want a table for four for 2 years from now,BookRestaurant,1
Add david cole to an instrumental sunday,AddToPlaylist,0
Diana in Search of Herself is average and gets a 3 out of 6 points,RateBook,4
What movies are in the neighbourhood,SearchScreeningEvent,6
What will the weather be like this tuesday in the area neighboring Rendezvous Mountain Educational State Forest?,GetWeather,2
Put a track by Ricky Martin into my 70s smash hits playlist.,AddToPlaylist,0
When is The Pirate Fairy playing at AMC Theaters?,SearchScreeningEvent,6
please book a restaurant with parking facility at taverna,BookRestaurant,1
show the creativity of Where What When,SearchCreativeWork,5
Give me a list of movie times for films in the area.,SearchScreeningEvent,6
Show me the picture Gas Wars,SearchCreativeWork,5
I'd like to eat at a highly rated swiss restaurant in Irma at two pm,BookRestaurant,1
Book a restaurant in Kamrar for midday.,BookRestaurant,1
find a TV show called Ride the Wind,SearchCreativeWork,5
what is the weather forecast for Kinbrae,GetWeather,2
Rate the Blood on the Moon saga a three,RateBook,4
book a restaurant for one,BookRestaurant,1
What time is Do Sher playing,SearchScreeningEvent,6
search for TV show Live at Apollo,SearchCreativeWork,5
is there going to be snowfall in Alton,GetWeather,2
book in Bolivia a brasserie for tourte food,BookRestaurant,1
Look up The Brave Archer 2,SearchCreativeWork,5
rate The Little Book four stars,RateBook,4
Where can I see the trailer for Phineas Redux?,SearchCreativeWork,5
What time is The Riders of the Whistling Skull playing at Magic Johnson Theatres,SearchScreeningEvent,6
"Will it be freezing in Poland on July 5, 2032",GetWeather,2
what is the New Caledonia forecast for Bagnell on sep. the 5th,GetWeather,2
Please rate the current album 4 stars.,RateBook,4
Rate The Abyss of Wonders 4 out of 6.,RateBook,4
Find me showtimes for A Christmas Story starting at eleven o'clock.,SearchScreeningEvent,6
Will there be sun around here?,GetWeather,2
book a spot for ten in Upper Marlboro PR,BookRestaurant,1
I want to give the current album 2 stars,RateBook,4
Give this novel two points,RateBook,4
What is the weather forecast in 2 seconds for South Carolina,GetWeather,2
Book The Crown at Whitebrook in RI for 2 people.,BookRestaurant,1
Tell me if it'll be temperate three hours from now in Bonaire,GetWeather,2
what is the Posey Island State Park forecast for colder temps at meal time,GetWeather,2
add an album in Guitar Hero Live Playlist,AddToPlaylist,0
When is The Great Question playing at the closest movie house?,SearchScreeningEvent,6
I would give this chronicle 0 stars,RateBook,4
For the current saga I rate 2 of 6 stars,RateBook,4
What movies are scheduled in the neighbourhood?,SearchScreeningEvent,6
What movies are playing at the nearest movie house,SearchScreeningEvent,6
I'd like to watch The Slender Thread at 6 PM,SearchScreeningEvent,6
Go to After Dusk They Come,SearchCreativeWork,5
Will it be warm in Cotati in Guinea-Bissau,GetWeather,2
Find me The Age for Love playing at the closest movie house.,SearchScreeningEvent,6
How will be the weather in Waltersville in one hour ?,GetWeather,2
Find movie schedules.,SearchScreeningEvent,6
find The Colour of the Chameleon,SearchScreeningEvent,6
I'm looking for Sherlock Holmes contre Arsène Lupin.,SearchCreativeWork,5
Add Waltz for Debby to my Soft Pop Hits playlist.,AddToPlaylist,0
Place this tune in workout remix,AddToPlaylist,0
I would like to see a schedule for movies at the nearest movie house.,SearchScreeningEvent,6
I want to book a restaurant for supper in Kellerton for 2,BookRestaurant,1
give 5 points to The White Hotel,RateBook,4
Give this book 2 out of 6 stars.,RateBook,4
add slave to the rhythm to the playlist Massive Soca Hits,AddToPlaylist,0
Will it be colder in Oswego 16 weeks from now ?,GetWeather,2
add this song to my this is kevin johansen,AddToPlaylist,0
Add song to orgánica,AddToPlaylist,0
book a table at a restaurant in Lucerne Valley that serves chicken nugget,BookRestaurant,1
I am giving this current book album 0 out of 6 stars,RateBook,4
Rate the current textbook four out of 6,RateBook,4
I want to listen to Keep the Faith,SearchCreativeWork,5
Put Pedro Navaja onto my flamenco pa ti playlist.,AddToPlaylist,0
Shw the picture Twin Husbands,SearchCreativeWork,5
Give me Pacific Theatres movie schedules,SearchScreeningEvent,6
"this album is hot trash, it's totally zero stars.",RateBook,4
I give The Battle of Bretton Woods saga two of 6 stars,RateBook,4
Add dear hearts and gentle people to he Tokyo Rising playlist.,AddToPlaylist,0
add this album to my de camino a clase playlist,AddToPlaylist,0
is it going to be humid in Helix,GetWeather,2
will there be hail in Kaffir,GetWeather,2
What are the selections of films that are being shown at Cinemark Theatres?,SearchScreeningEvent,6
List movie schedule.,SearchScreeningEvent,6
Which animated movies are playing at the nearest movie house?,SearchScreeningEvent,6
Book The Mustard Seed in Turks and Caicos Islands for 9 people.,BookRestaurant,1
What time is Always Brando showing,SearchScreeningEvent,6
Add shot forth self living to my Folk Metal Warriors playlist.,AddToPlaylist,0
What animated movies are playing at the nearest movie theatre?,SearchScreeningEvent,6
Can you give me a local and current movie schedule,SearchScreeningEvent,6
I'd rate this novel at 2 points,RateBook,4
movie schedule for Harkins Theatres,SearchScreeningEvent,6
Is Tomorrow at Seven being played at Douglas Theatre Company?,SearchScreeningEvent,6
reserve a smoking room at the restaurant,BookRestaurant,1
put this tune onto my party through the decades playlist,AddToPlaylist,0
what is the weather forecast for Tennessee for warm temps,GetWeather,2
Book a steakhouse with a spa for seven people.,BookRestaurant,1
Try to find the picture Advances in ecological research,SearchCreativeWork,5
Looking for a tibetan restaurant and need reservations for 1.,BookRestaurant,1
book a spot for one at The Wolseley at elevenses,BookRestaurant,1
book a table around London Borough of Ealing that is highly rated in a gluten free bar,BookRestaurant,1
rate this essay 3 out of 6 points,RateBook,4
I'd like to see the book City University of Hong Kong Law Review,SearchCreativeWork,5
What movie theatre is playing The Deaths of Ian Stone,SearchScreeningEvent,6
Is it snowy in DeMotte MS,GetWeather,2
