text,sentiment,label
Betere #presentatie geven? Kijk eens naar de #microsoft #powerpoint #cursussen en #trainingen: http://t.co/fxbrysGk #cursusvoor,neutral,1
#Microsoft lanza sitio oficial de #Skype http://t.co/1WDCJldZ,neutral,1
"#Google Ice Cream Sandwich, Nexus Prime Launch [LIVE BLOG] http://t.co/kj2y69HM",neutral,1
@BADDchikkENT See What I Mean #Twitter o_O,neutral,1
@Le_M_Poireau Mais moi je voudrais pas que @apple donne mon fichier @LaLibreBe. Marre d'être spammée par les journaux désespérés.,neutral,1
#MICROSOFT MULTIMEDIA STRAVINSKY : THE RITE OF SPRING (CD-ROM) [VERSION 1.0] Review: MICROSOFT MULTIMEDIA STRAVI... http://t.co/iX4FEcM2,neutral,1
Hoy #Foursquare y #Google+ me patearon las pelotas!,neutral,1
9% now on my second full charge of the day. Pissed @Apple,negative,0
Don’t seek followers unless you’re ready to treat them like the real people they are http://t.co/qa1JFSka #Twitter RT @TweetSmarter,neutral,1
"Yep it's official, my tweets that get RT'd aren't showing me when they get RT'd. Dammit #Twitter, sometimes it's #Love/Hate thing we have!!",negative,0
#Google No se que aria sin ti :$,neutral,1
"Yeah, there's no @apple twitter account.",neutral,1
"MS Access: a database, reporting tool, programmable forms w/ VBA, part of MS Office #Microsoft should add web front end admin console/util",neutral,1
todos quieren destruir a @blackberryhelp ves que estas en la mala @sebitasrodri mira que @apple ya tiene chat,neutral,1
RT @whymicrosoft Are you making the move from #GoogleApps to #Microsoft? &gt;&gt; #Metalogix can migrate you from #GoogleApps to #SharePoint,neutral,1
Microsoft Stores offer up free Windows Phone 7 devices #microsoft #microsoftstores http://t.co/BpFKyd1O,positive,2
"YouTube SEO: 

It's time for another excerpt from the second edition of Music 3.0: A Survival Gui... http://t.co/ePAgAnJB #twitter #news",neutral,1
Bob Harper: #BobHarper  #Bob #Harper http://t.co/hnAMTNzh #google #youtube,neutral,1
ultiem zwaktebod: concurrentie hekelen om je eigen product te pushen. Ballmer: Android is te complex http://t.co/xq0tRp44 #microsoft #fud,neutral,1
Crea #Google #librero virtual infinito : El sitio WebGL Bookcase despliega el acervo de #libros .. http://t.co/Y6E1tuvi,neutral,1
RT @ijnetEs: Cinco herramientas de #Google que todo periodista debe conocer. http://t.co/ELypfnyG #periodismodigital,neutral,1
www.google.com/googlenexus #google #android #icecreamsandwich #googlenexus,neutral,1
"@gsmarena_com Talk, talk, talk... release the phone already, before they are completely obsolete #Nokia #Microsoft",neutral,1
@apple took my Siri and made it exclusive to iPhone 4S  #SoRude,negative,0
Built in panorama in camera app #Android 4.0 #ICS #Google,neutral,1
tengo q ir a dormir pero no qiero xD #Twitter =D,neutral,1
"#google #yahoo #bing Ballmer on Bing, Xbox, Apple...oh, and Yahoo, too http://t.co/CfHu4jBP #seo #serps",neutral,1
sponsors and supporters at the #ascribeconference include #microsoft #ubisys #zetes #healthinformation #connectingforhealth #emis,neutral,1
Calling All #IceCreamSandwich Lovers | #Google & #Samsung Like in Hong Kong - A new look at what's new from Android http://t.co/8fiwDhcC,neutral,1
"When #Microsoft ""violated U.S. antitrust laws""—leaving #Netscape out of business & #Novell wounded—it played ""dumb"". http://t.co/0WHHmAK4",negative,0
Galaxy Nexus: El nuevo teléfono de Google y Samsung #Android #Samsung #Google http://t.co/ak9xKDXT #followme,neutral,1
"#Google confirms #Nexus S will get #Ice_Cream_Sandwich -- for real this time (#Gingerbread devices, too) http://t.co/RajAK9P2",neutral,1
why tha fuck ppl post everything on #twitter u cant #im on here what is it for someone tell me please,neutral,1
@MSPartners can join: Small Business Specialist Community (SBCS) http://t.co/IlQPKEz0! #Microsoft #MPN,neutral,1
"Se que en estos momentos transmiten soy tu fan, cortesía de #twitter y de @aNgEluSrO",neutral,1
So THANKFUL for the incredible people @apple for going above and beyond and offering to and replacing my  water-damaged Macbook Pro!!! Wow!,positive,2
#Microsoft: Jetzt wird jede Hand zum Touch-Screen http://t.co/46F2PM7v #OmniTouch,neutral,1
@apple http://t.co/2YcsCG68 via @donorschoose,neutral,1
the announcement is in hong kong....... gotcha #icecreamsandwhich #android #galaxynexus #mynextphone #google #ics #droid,neutral,1
#Twitter is hella coo... like farreal i love twitter.,positive,2
GN #Twitter.......z.z.z.z.z.z Z  Z z z z,neutral,1
Tinha Esquecido Do #Twitter Ç.Ç Nunca Fiz Isso !Rsrsrs,neutral,1
Somos 2 Intao @DehTavares que tem o #Twitter #HAHA,neutral,1
lo mejor de #twitter es que no tenes que esperar un monton a que carge tu foto:D♥,neutral,1
RT @ManelFMartinez: How #Apple eclipsed #Microsoft http://t.co/IJ6XyDp3  #sun rise #in via @guardian,negative,0
"@jordanomazzoni E pretendo em breve me certificar nas soluções de virtualização #Microsoft também, #HyperV gera muitas oportuniodades.",neutral,1
"Necesito editar un archivo y no puedo, solución #Microsoft, no lo edites que estupides",neutral,1
My #twitter age is 1 year 148 days 1 hour 15 minutes 56 seconds. Find out yours at http://t.co/hcR3FSpD #twittertime,neutral,1
Back in the #twitter game,neutral,1
IHS: iPhone 4S shows key design and component changes. http://t.co/UxfA8Ukg  @apple #apple #iphome4S #ios5,neutral,1
RT @technabob: Using a #Touchscreen Through Your Pocket Made Possible by #Microsoft #PocketTouch: Have you… http://t.co/PJpFeyTF,neutral,1
Get your #Twitter #marketing #campaigns built by an #SEO expert: http://t.co/7FttDde4,neutral,1
"@Apple to shut stores!!! C'mon, Only Wednesday for @SteveJobs memorial.",neutral,1
#Android #Google Samsung Galaxy Nexus official hands-on [Video] http://t.co/6GX3R9MT #DhilipSiva,neutral,1
"God Bless @YouTube, @apple for  #appletv & our bad ass system. LOVING #PrincessOfChina. GB to @coldplay & @rihanna too :)",positive,2
i want him to make a #Twitter,neutral,1
Getting ready 4 bed... School tomorrow. We have an evacuation at school! Night #Twitter =],neutral,1
#Twitter&FBOff,neutral,1
Ice Cream Sandwich arrives http://t.co/Z4j7WhmS #google #icecream #android #samsung,neutral,1
Steve Jobs Biopic Coming Soon - @Apple #Apple #SteveJobs http://t.co/DxZBa5bG,neutral,1
#Microsoft presenta un teclado #touch sobre cualquier superficie  http://t.co/mU1FdIhF,neutral,1
Installing the Ice Cream Sandwich SDK #android #google,neutral,1
Instead of updating your #Twitter why don't you update your life!,neutral,1
Is @Apple's voice #tech really as impressive as the net thinks it is? http://t.co/Rbf23CNX #siri,neutral,1
Got this new #twitter app and a fresh ass theme with it! FWM,positive,2
#Microsoft anuncia SQL Server ODBC Driver para Linux! http://t.co/kDbNjYyB  #MS #Linux #Opensource #SQL #Softwarelibre,neutral,1
@adrianosabino2 Maagiina amoor! Tavaa #Off esses diias akii noo #Twitter meesmoo! fiica triste cmg naaum taa?,neutral,1
@apple Cards app notifies me the card I sent has arrived at local post office and should be delivered today... Sunday. Truly is #magic.,positive,2
I'm on one tonight ...#tripping ! Lol eff yal ...its #twitter !,neutral,1
RT @DariuszPorowski: RT Me too! @rem8: On my way home from 1st day of #MTS11. Had great time with @alead @DariuszPorowski and others #mv ...,positive,2
Being Choosy With Twitter: The Follow-Back Conundrum http://t.co/K2rRC2ir #socialmedia #twitter #mediagofer @media_guerilla @SMsavvy,neutral,1
Microsoft Research dévoile une interface futuriste avec Kinect | via @Xboxygen.com http://t.co/sRb0qLRA #Microsoft #MS #Kinect,neutral,1
#Android #Google Ice Cream Sandwich new features not mentioned during webcast http://t.co/m2UGgiev #DhilipSiva,neutral,1
From which companies do you experience the best customer service aside from @zappos and @apple?,positive,2
I'm suspecting @Apple timed the health-decline of my iPhone 4 perfectly with the iPhone 4s release... My battery is seriously ailing.,negative,0
"need #facebook fans, #twitter followers and #youtube views by nvida2: i need… http://t.co/tK6IHH2B #freelance #job",neutral,1
"RT @AslanMarine: Vous voulez la une de LNT ? La nouvelle tribune de demain 20/10/11: #intikhabates, #PJD, #PPS, #MoroccoMall , #Boeing , ...",neutral,1
"Ballmer On Not Buying Yahoo: “Sometimes You’re Lucky”: Speaking today at Web 2.0, #Microsoft… http://t.co/KOt83DxF",neutral,1
vou #fazer uma #montagem com minhas #fotos para colocar como #plano de fundo aki no #twitter!!!!!!!!!!!!,neutral,1
@Apple buried the ability to manage #newsstand subscriptions under App Store Settings. This is inconvenient at best.,neutral,1
"Directivos de #Google, #Microsoft o #IBM reflexionarán sobre cómo vender más utilizando las nuevas tecnologías http://t.co/5ogXhe52",neutral,1
finally logged back in!!!! what&#39;s up #twitter!!!,neutral,1
I'm on day 80-something of my Xbox LIVE acct being hacked. This is worse than PSN hack. Will I ever get it back? #Microsoft #Xbox #Fail,negative,0
Microsoft Word - Ch 3 Solutions IE done pdf ebook:  http://t.co/nZTGU900 #google,neutral,1
@Vusala_Abidin xeyirli ugurlu olsun.amma deyen ciddi yenilik yoxdu. #google #nexus #android,neutral,1
"#Twitter es como el alcohol: Empiezas por curiosidad, luego socializar, después por diversión y terminas en adicción. / soy ya alcohólico ;)",neutral,1
Do not check other site for Uhmw Conveyor.Now you go best site of Uhmw Conveyor. http://t.co/8RMV5D2q@9 @Pin @Cable @Apple,neutral,1
@Lisa_Marie1987 shhhh. the evil sith lords @apple may hear you ha!,negative,0
@dgosset @lolopb oh putain… j'ai vidé mon spam il y a peu… Le mail de applecert@apple.com est dans ce qu'il reste…,neutral,1
RT @adamnash: The takeaway from the @Apple earnings call?  Even Apple needs a new iPhone release every 12 months to stay competitive. cc ...,neutral,1
"##FB & ##Twitter ##Off! Buenas Nochees(:
Espero verte en mis sueños...
Naah, de todas formas te veo mañana! XD",neutral,1
#Google & Samsung announced their (hopeful) rebuttal to iPhone 4S tonight... site shows nice specs but no carriers yet. http://t.co/Z8SDgUT9,neutral,1
The #iphone4s is  amazing. Siri's voice recognition is absolutely a step above previous attempts. Bravo @apple,positive,2
"My 3 biggest obsessions: #twitter, #dancemoms, and #desperatehousewives. &lt;3",positive,2
"Gonna Crash Out Pretty Tired, Night #Twitter&lt;3",neutral,1
@ManwitPURPOSE50 what are you doing now on #twitter????,neutral,1
"Android Beam, panorama, Gmail offline, lockscreen, contacts, facial recognition unlock... #IceCreamSandwich #NexusPrime #Google",neutral,1
@jessnovelo el #twitter? Jajaja,neutral,1
&lt;3 #ios5 @apple,positive,2
#IOS 5: Cómo integrar #Tweetbot en lugar de #Twitter http://t.co/tjzscoAl,neutral,1
#Microsoft adquiere #Skype por un monto $8500 millones - http://t.co/jZr2WTCE,neutral,1
"@BeeeThree I am aye, I wasn't @apple",neutral,1
RT@jeffbullas Twitters impressive numbers  http://t.co/VJRSsfYn #Twitter #SMM #SocialMedia,positive,2
RT @AndroidTopNews: Steve Ballmer: Android is for computer science geeks http://t.co/o7vJl4Tl #News #android #google #microsoft #steve_b ...,neutral,1
@BikerVox @mariomussolini @ios_notch @apple xD thats why i have a back up PC… just incase *hides gun*,neutral,1
#Google lanza #Android 4.0 http://t.co/NZ494v4h también conocido como Ice Cream Sandwich y Samsung lanza el Galaxy #Nexus,neutral,1
#Microsoft Explains and Refines the #Windows 8 Start Screen - http://t.co/IIlXENKI #ux #ixd,neutral,1
Iphone 4s siri doesn't work for shit @apple,negative,0
"At the #VMworld party, looks good but I wonder who are the better dancers; #VMware or #Microsoft employees! ;-)",neutral,1
a dormir #twitter off,neutral,1
I just installed Twidroyd for #Twitter on my #Android Phone - It's #Free and you can mute users :) http://t.co/kIHs1HRm,neutral,1
#Google The Annie Duke Texas Hold-Em Poker Tournament to Gain Homeless Youth And Domestic Violence Vi... http://t.co/wSGk5WAj #wikileaks,neutral,1
Jetzt gerade angeschaut und +1t  #adwords #guide #google #adwords #guide http://t.co/S87lNq2u,neutral,1
.@apple thanks for fixing this... http://t.co/wTj1ogDO,positive,2
The great tech battle ft @facebook @amazon @apple and more http://t.co/ws4lWWXy via @fastcompany,neutral,1
#Microsoft :88%di noi utilizza servizi #cloud senza saperlo. Rivelata release di #WindowsPhone e aggiornamenti #Hotmail http://t.co/vgUbrZYN,neutral,1
"@notleifgarrett @apple wished their on hold music played ""Pictures of You"".",neutral,1
Changing the past and organizing the future with #Microsoft http://t.co/bYYFhtpZ,neutral,1
"watching a ""new"" interview with @L1LD3BB13 giving props to #twitter glad to see her out on her own doing her own thang;",neutral,1
@apple What's the point of iCloud wireless updates when ios5 now forces me to use the computer to charge my ipod touch now? #worstupdateever,negative,0
En @Apple mucho diseño pero llevo media hora esperando a mi clase que poca formalidad,neutral,1
@chefreggie06 @rolandsmartin @Apple get ready Tampa Bay the Martin's are coming to town! Bring it on Buccaneers!,neutral,1
RT @CRMStrategies: Great Tech War of 2012 http://t.co/64jGRoBp @FastCompany profiles @Amazon @Apple @Google @Facebook on @CNBC /ht @phil ...,neutral,1
Anyone in #twitter land know if retweets are broken? Haven't seen any since Tuesday.,negative,0
"#Microsoft's Ballmer Trashes Android, Touts Skype
 http://t.co/96BMOxv4",neutral,1
"@Apple, Y U NO LET ME PRE-ORDER IPHONE 4S?",neutral,1
コミュニティファクトリー、5カ国語対応のスマートフォンカメラアプリ「DECOPIC」（CNET Japan） ⇒ http://t.co/xghcsgx5 #twitter,neutral,1
#google #galaxynexus #icecream great,positive,2
So my mentions don't work? And my TL don't be wanting to update. Is #twitter moving servers or doing maintenance?,negative,0
#Android #Google Android 4.0 SDK now available http://t.co/HI1cQ2si #DhilipSiva,neutral,1
Check%RT @CadientGroup: $6% of women use #Google for info on health care vs 28% of men -&gt; http://t.co/QEfhPgX2 (via @nicolaziady) #hcsmeu,neutral,1
@apple why my tunes no go on my iPhone? iPhone lonely without them. silly #iOS5,negative,0
RT @RUILIFESTYLE: #GOOGLE THE MIXTAPE http://t.co/v8zTtNVV,neutral,1
"Video: #Google wallet, see the wow effect http://t.co/mcW78VtG",positive,2
Samsung и Google представили новый смартфон Galaxy Nexus http://t.co/ou1aoGK6 #google #nexus #android,neutral,1
Amazing that at #microsoft #TechEdAfrica everyone is running iOS phones !,neutral,1
Op weg 020 meeting #microsoft. Ben benieuwd naar stavaza MD traject people managers. Morgen vlieg ik USA voor reünie Class '86!!,neutral,1
@CoLDSToRAGE Haven't had a chance to check out the #android overhaul but ebooks are likely a response to @apple newsstand baked into #iOS5,neutral,1
iPhone 4S: Setup SIRI for your Tweets. http://t.co/ws7LINTS @apple #apple #iphone #siri,neutral,1
How #Apple eclipsed #Microsoft http://t.co/IJ6XyDp3  #sun rise #in via @guardian,negative,0
RT @jeffbullas: Twitter Reveals It’s Latest Growth Numbers http://t.co/SujtK4fS #Twitter #SMM #SocialMedia,neutral,1
"Steve Ballmer haalt uit naar #Android http://t.co/LlIxBzeV #nuandroid Dan ben ik ook een nerd, ja daaaaag, slecht zeg van #microsoft",neutral,1
One would think the voice recognition on the @apple tech support line would work a little better.,negative,0
Ternuritas los que creen me la paso conectado al #twitter no saben de las aplicaciones jajaja #Oaxaca,neutral,1
#SIGSource Dawn Evans interviewing #Microsoft's Tim McBride in SIG's Inside Source exec video series. In a new role in financial operations,neutral,1
"BOO to no GoogleMusic news, US carrier news, or price points. #google #ICS #android",negative,0
"Como es posible que Motorola siga bloqueando los bootloaders de sus telefono. Merecen quebrar, y con ellos #google. #MotoFAIL",neutral,1
#Siri I could have done with out its not that great #iPhone4S I hear the #iPhone5 is coming out #2013 @apple.inc,neutral,1
#Android Ice Cream Sandwich #Gmail reminds me a lot of #iOS mail app #CopyAndPaste #Google,neutral,1
Les annonces se suivent et sont toutes super pratiques #ics #android #google,neutral,1
"قال الرئيس التنفيذي لشركة #Microsoft ستيف بالمر اليوم في مؤتمر Web 2.0 ان اجهزة الأندرويد اجهزه ممله واضاف 
=
#Android_ar #Tech_ar",neutral,1
Some1 shld create a Business where they take ppl's #twitter streams over a period of time & make them into a nice book. #keepsake #urwelcome,neutral,1
@Apple can't send me an iPhone preordered 1hr after launching but they cans send 5 or 10 to all the jackasses who want to shoot or blend 'em,negative,0
What was @apple thinking making #Siri totally dependent on a network connection? Siri + @ATT = utter frustration.,negative,0
RT @stuartmiles: http://t.co/hM2x3yim via @pocketlint #moto #google #android,neutral,1
GMusic une Google Music con Apple iOS [Apps] #Apple #Google #iOS http://t.co/k2T4ztCY,neutral,1
@Apple do not buy an iPhone 4s that isn't in the store. THEY ARE NOT MADE YET AND DEFRAUDING YOU,neutral,1
What is the difference between #twitter and #googleplus??,neutral,1
каталог статей http://t.co/aNPOt4Cn Cервис регистрации в каталогах статей #seo #linkbuilding #backlinks #addurl #bookmarks #google,neutral,1
sabia yo q #google no me hiba a fallar... resumen encontrado... solo falta transcribirlo,neutral,1
Put your twitter on autopilot and let it gain followers for you!! http://t.co/hze1TqAl #TeamFollowBack #Twitter #autopilot #1000aday 21,neutral,1
#Microsoft dirà che #Google ha usato il brevetto dell'animazione del cerchio?! | Google Presentations New Version http://t.co/vmzshHUQ,neutral,1
@Samsung wants to ban @Apple iPhone 4S in Japan and Australia. http://t.co/hWA4tWIc #smartphonewar,neutral,1
"@cagimo mire la última foto que monte al #Twitter, ayude a su amigo a la colección :D :D :D #Indirecta",neutral,1
"#ICS"" putting people at the heart""? You have GOT to be joking #Google. Now even copying slogans? Ah I get it, THOSE are not patented ;)",neutral,1
RT @MizzSpicey: #TeamFollowBack #TFB #MustFollow #MF #FollowNow #FN #FollowFriday #FF #IFB #Twitter #Follow @Only1DeejayER &lt;&lt; oooh ...,neutral,1
"#Google, #Samsung unveil Ice Cream Sandwich powered Galaxy Nexus.. #Android4.0",neutral,1
What does it take to get a job at #Google? #recruiting http://t.co/eVjiH7oD,neutral,1
Wtf @apple 64 pages for the new terms & conditions when u update ur apps from the iTunes store. Do u really think we'll read em? Really???,negative,0
"@Mommy_gaga, #Win an @Apple iPod Touch @Mommy_gaga, get the @Pampers Hello World Baby Memories App! http://t.co/qEATNMpI #PampersHelloApps",neutral,1
Swaagg me outt #twitter,neutral,1
Get #Microsoft #http://t.co/TMUrucvW certified now!! http://t.co/3Qr7XoCy,neutral,1
#IceCreamSandwich went way and beyond what I expected. Can't wait to get it on my Nexus to play with! #Google,positive,2
#Google releases an Infinite Digital Bookcase http://t.co/FbvZq8Yp by @MeghanKel,neutral,1
"A espera acabou. #Samsung, parceria com o #Google, o novo GalaxyNexus nesta terça-feira (19) em HongKong. O  Android 4.0 Ice Cream Sandwich",neutral,1
Apple sold 4 million iPhone 4S units on first weekend - Appletell: http://t.co/vs5r1oox #iPhone4S @Apple #fb,neutral,1
#Google образова онлайн потребителите http://t.co/9XMBZbUk #защитаналичнитеданни,neutral,1
#Samsung Galaxy #Nexus hands-on (#video) http://t.co/w4muSKEm #android #galaxynexus #galaxynexus #google,neutral,1
#Oferta #Empleo Product Manager de Soluciones #IT http://t.co/xfZicBqO #trabajo #marketing #microsoft,neutral,1
IHS: iPhone 4S shows key design and component changes. http://t.co/Y3Mali6y  @apple #apple #iphome4S #ios5,neutral,1
Goodnight #twitter see you in the morning for another #successful day!,neutral,1
"@apple $319 to repair my iPad 2, Apple you've lost me and my $700 a year, Android here I come!",negative,0
fuck u @apple,negative,0
I just sent my grandma a post card using my #CardsApp thanks @Apple,positive,2
#Measure your #Marketing.Get the FREE Analytics Campaign Tagger sheet for #Google #Analytics now! http://t.co/8WC3Y5kK,neutral,1
el #twitter se vuelve Bisiiioo,neutral,1
RT @Jadishmedia: La última campaña de Microsoft es una “sopa boba” que vende todo y nada a la vez http://t.co/xOmLCEgl #marketing #microsoft,neutral,1
@WSPSanDiego Kickoff tomorrow 10/20 at San Diego #Microsoft Store at 6:00pm @wspwest ping me w/questions #in,neutral,1
I OUT #Twitter Till 2mar,neutral,1
I wish Siri could tweet for me . @apple fix that .,negative,0
Use Caution When Sharing on Social Networks http://t.co/SXNoBASn via @LarryMagid #youth #facebook #google+,neutral,1
Thanks for the #follow don't forget to add us to your #Twitter list,neutral,1
Surfactants pdf ebook:  http://t.co/JlzvsR9f #google,neutral,1
picking up my #iPhone4S in two hours @Apple!,neutral,1
Tomorrow at #SAPTechEd Bangalore: #SAP & #Microsoft Building Apps for Both Worlds w #DuetEnterprise & #SAPGateway. http://t.co/te4NQmxN,neutral,1
"I agree with @wellis68 that the ""Hangouts"" on #Google+ are friggin' awesome!”",positive,2
#Google ainda te ama apesar de tudo IUEHAIUAHEIUHAEIUH =P,neutral,1
"Microsoft opens the spigot, Windows Phone Mango available to all #microsoft #windowsphone http://t.co/S54leHKi",neutral,1
"Samsung seeks iPhone 4S ban in Japan and Australia
Patent war intensifies with injunction sought against @Apple http://t.co/QmwjTvnk",negative,0
Deiixando o #twitter BOA NOITE a todos qual quer coisa só chamarem no facebook! http://t.co/LOeZAYeE #FUI,neutral,1
@paulbentleymelb @apple I think they call that profit-making 'genius',neutral,1
"Non mais WTF !? RT @Twikito Google passe en HTTPS, un drame pour les statistiques http://t.co/gQIhDcEs #analytics #Google via @Zorgloob",neutral,1
"Nouvelle application Contacts : les connections Linkedin, Twitter.. sont enfin intégrées ! #google #nexusprime",neutral,1
RT @twandroid SDK dispo aujourd'hui #google #nexusprime,neutral,1
#Microsoft tries to combine the #Xbox #WindowsPhone and #PC and all of them will share the same neat looking interface. http://t.co/J332zfpO,positive,2
"@nachogoano  tiene 146692 seguidores, a la masividad de #twitter es sorprendente.",neutral,1
have to finish faster the only way is to google it!!!! #google :D,positive,2
Finalmente llegó el Galaxy Nexus: #Google y #Samsung acaban de hacer el tan esperado… http://t.co/2Eerkm1E #tech,neutral,1
Discover #Keywords & #Business Critical Information to be No 1 on #Google read aspenIbiz #blog post http://t.co/Rotiieo0,neutral,1
"#Microsoft, Steve Ballmer, speaks at Web 2.0 Summit in San Francisco: http://t.co/awtf2xJW #Bing #Android #Google #Apple #Amazon",neutral,1
- Ima Addicted To #Twitter.,neutral,1
RT @ThisIsYunGFRESH: JOIN OUR #TT ON #TWITTER FOLLOW @ThisIsYungFRESH & @macDej #TT #RatchetSymptoms,neutral,1
